,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
14,ShorterThan1.2Kms,inputs count + split args,single step,5,MLPRegressor(random_state=5),0.65819718,0.6583283,94.69864987,40.55082645,0.11107309999351855,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,ShorterThan1.2Kms,inputs count + split args,single step,6,KNeighborsRegressor(),0.68469389,0.68484208,91.2547237,39.37655219,0.3596014000067953,"{'n_neighbors': 25, 'weights': 'distance'}"
16,ShorterThan1.2Kms,inputs count + split args,single step,6,DecisionTreeRegressor(random_state=5),0.66712611,0.66728037,93.00956117,40.92297023,0.0017171000072266906,"{'criterion': 'mse', 'max_depth': 10}"
17,ShorterThan1.2Kms,inputs count + split args,single step,6,MLPRegressor(random_state=5),0.67175469,0.67190735,96.45500978,43.06762401,0.1041895999951521,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,ShorterThan1.2Kms,inputs count + split args,single step,7,KNeighborsRegressor(),0.68732073,0.68749256,90.81333069,39.16026156,0.5179576999944402,"{'n_neighbors': 25, 'weights': 'distance'}"
19,ShorterThan1.2Kms,inputs count + split args,single step,7,DecisionTreeRegressor(random_state=5),0.66808126,0.66826084,92.18374089,40.67500386,0.00196979999600444,"{'criterion': 'mse', 'max_depth': 10}"
20,ShorterThan1.2Kms,inputs count + split args,single step,7,MLPRegressor(random_state=5),0.67010553,0.6702843,92.88543199,39.02594982,0.09967699999106117,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,ShorterThan1.2Kms,inputs count + split args,single step,8,KNeighborsRegressor(),0.68977895,0.6899742,90.42121963,38.90822566,0.7096243999985745,"{'n_neighbors': 25, 'weights': 'distance'}"
22,ShorterThan1.2Kms,inputs count + split args,single step,8,DecisionTreeRegressor(random_state=5),0.67041599,0.67062015,92.14683919,40.5120805,0.0018390000041108578,"{'criterion': 'mse', 'max_depth': 10}"
23,ShorterThan1.2Kms,inputs count + split args,single step,8,MLPRegressor(random_state=5),0.68905304,0.68924862,94.05403469,43.11124892,0.11509340000338852,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs and args,single step,,KNeighborsRegressor(),0.78061668,0.78143509,73.52757992,30.73274136,26.9834974,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,split inputs and args,single step,,DecisionTreeRegressor(random_state=5),0.74238724,0.74329366,79.97835391,34.49367772,0.01410980002,"{'criterion': 'mse', 'max_depth': 10}"
