,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
22,mDiffFit,split inputs and args,single step,8,DecisionTreeRegressor(random_state=5),0.55909263,0.55950145,354.02241817,71.84112817,0.0017604000022402033,"{'criterion': 'mse', 'max_depth': 10}"
23,mDiffFit,split inputs and args,single step,8,MLPRegressor(random_state=5),0.65879932,0.65915085,390.48496235,81.79113517,0.04282899999816436,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mBackground,prev,single step,1,KNeighborsRegressor(),0.12041456,0.12068421,3861.46514251,891.7188269,0.00981569999930798,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mBackground,prev,single step,1,DecisionTreeRegressor(random_state=5),0.09586926,0.09614643,3929.87183824,891.88830626,0.00019020000036107376,"{'criterion': 'mse', 'max_depth': 5}"
2,mBackground,prev,single step,1,MLPRegressor(random_state=5),0.02311833,0.0234178,4426.25731103,1014.89011748,0.00457520000054501,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mBackground,prev,single step,2,KNeighborsRegressor(),0.82006995,0.82018027,1040.67867343,66.76544009,0.01389789999666391,"{'n_neighbors': 20, 'weights': 'distance'}"
4,mBackground,prev,single step,2,DecisionTreeRegressor(random_state=5),0.75698082,0.75712982,1194.22043904,80.29901256,0.00035679999928106554,"{'criterion': 'mse', 'max_depth': 10}"
5,mBackground,prev,single step,2,MLPRegressor(random_state=5),0.4213244,0.4216792,2594.34441849,369.91961227,0.004177800001343712,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mBackground,prev,single step,3,KNeighborsRegressor(),0.90944318,0.90952646,701.14516908,20.31488719,0.01388049999877694,"{'n_neighbors': 15, 'weights': 'distance'}"
7,mBackground,prev,single step,3,DecisionTreeRegressor(random_state=5),0.87138882,0.87150711,813.61800654,24.40244914,0.0003682999995362479,"{'criterion': 'mse', 'max_depth': 10}"
8,mBackground,prev,single step,3,MLPRegressor(random_state=5),0.72026954,0.72052681,1602.13016593,125.10922914,0.004768999999214429,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mBackground,prev,single step,4,KNeighborsRegressor(),0.91277049,0.91287746,687.01923898,19.23915447,0.01584039999943343,"{'n_neighbors': 15, 'weights': 'distance'}"
10,mBackground,prev,single step,4,DecisionTreeRegressor(random_state=5),0.87995806,0.88010526,783.31602448,21.76473173,0.0003648999991128221,"{'criterion': 'mse', 'max_depth': 10}"
11,mBackground,prev,single step,4,MLPRegressor(random_state=5),0.77509154,0.77536733,1306.75352417,103.51915746,0.004984900002455106,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mBackground,prev,single step,5,KNeighborsRegressor(),0.91360514,0.91373756,687.2184088,19.59122482,0.013944199999968987,"{'n_neighbors': 10, 'weights': 'distance'}"
13,mBackground,prev,single step,5,DecisionTreeRegressor(random_state=5),0.8827927,0.88297236,780.1510701,23.19941756,0.0003615000023273751,"{'criterion': 'mse', 'max_depth': 10}"
14,mBackground,prev,single step,5,MLPRegressor(random_state=5),0.81656375,0.81684492,1369.28753686,113.28848642,0.005021000000851927,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mBackground,prev,single step,6,KNeighborsRegressor(),0.91181735,0.91197955,698.35205976,19.69782226,0.019613600001321174,"{'n_neighbors': 15, 'weights': 'distance'}"
16,mBackground,prev,single step,6,DecisionTreeRegressor(random_state=5),0.87499968,0.8752296,801.89712193,22.14852237,0.00038159999894560315,"{'criterion': 'mse', 'max_depth': 10}"
17,mBackground,prev,single step,6,MLPRegressor(random_state=5),0.76836612,0.76879218,1446.22548591,149.29256218,0.005086799999844516,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mBackground,prev,single step,7,KNeighborsRegressor(),0.91735749,0.91753483,662.67297865,18.35328512,0.020816600001126062,"{'n_neighbors': 15, 'weights': 'distance'}"
